file_id,url,title,name,class,order,family,describe,feature,size,habitat,inner,outer,level,others
001-小齿锯鳐,http://localhost:8000/info/static/animals/001-小齿锯鳐.txt,《小齿锯鳐》,小齿锯鳐,软骨鱼纲,锯鳐目,锯鳐目,体延长而平扁，背面稍圆凸，腹面平坦。头平扁，三角形。尾宽大，向后细小，下侧具一皮褶。眼上侧位，椭圆形。喷水孔斜位，与眼的距离等于喷水孔长或稍大。吻平扁，较宽大，剑状突出，前端圆钝；吻齿17-22对，基底长约等于其间隔的1/3。鼻孔狭长，斜侧位；前鼻瓣具1个小三角形突出；后鼻瓣外侧具一扁狭薄膜，内侧具一袜状突出，转入于鼻腔中。口宽大，横列，齿细小而多，平扁光滑，铺石状排列。鳃孔5个，颇小，斜列于头之后部腹面上，在胸鳍前部的内侧。背鳍2个，无硬棘，形状相同；前缘圆凸，后缘凹入，上角钝尖，下角延长尖突；第一背鳍较前位，起点前于腹鳍起点，基底的后半部与腹鳍基底的前半部相对；第二背鳍比第一背鳍稍小，鳍端未伸达尾基，基底长约等于背鳍间隔的2/3。尾鳍较狭长，上下叶都发达，下叶前部小三角形突出，后部无缺刻。腹鳍比背鳍稍小，后缘稍凹入，里角稍尖突，几伸达第二背鳍起点下方。胸鳍宽大，外角钝尖，后缘凹入，里角尖突，基底前延，伸达第一鳃孔与下颌之间。,,体长达4-5 m,,广州，南海,印度洋，印度尼西亚，澳大利亚，大西洋,濒危,小齿锯鳐属食用经济鱼类，肉可鲜食，也可加共鱼糜，皮可制革，鳍可加工鱼翅。胆、卵、肝、鳍均可入药
002-猎隼,http://localhost:8000/info/static/animals/002-猎隼.txt,《猎隼》,猎隼,鸟纲,隼形目,隼科,猎隼（拉丁学名：Falco cherrug），季候鸟，大型猛禽。主要以鸟类和小型动物为食。分布广泛，中国和中欧、北非、印度北部、蒙古常见。中国国家一级重点保护动物,总体特征：猎隼体重510-1200克，体长278-779毫米。猎隼是体大且胸部厚实的浅色隼。颈背偏白，头顶浅褐。头部对比色少，眼下方具不明显黑色线条，眉纹白。上体多褐色而略具横斑，与翼尖的深褐色成对比。尾具狭窄的白色羽端。下体偏白，狭窄翼尖深色，翼下大覆羽具黑色细纹。翼比游隼形钝而色浅。幼鸟上体褐色深沉，下体满布黑色纵纹。叫声似游隼但较沙哑。 [1-2] ；体态特征：下方具不明显黑色线条，眉纹白 ；头顶砖红色，具暗褐色纵纹，后颈色较淡，具较窄的纹；颊部白色，背、肩、腰暗褐色，具砖红色点斑和横斑；尾黑褐色，具砖红色横斑；翅亦黑褐色，飞羽内和覆羽具砖红色横斑和淡色羽端；下腹、尾下覆羽和覆腿羽为白棕色，具较细的暗褐色纵纹。雄性长度：45厘米 ；雌性长度：55厘米。雄性翼展：100 -110厘米 ；雌性翼展：120-130厘米。雄性重量：730 -990克 ；雌性体重：970-1300克。虹膜－褐色；嘴－灰色，蜡膜浅黄；脚－浅黄。 [1-2],体长278-779毫米,,北方,中欧，北非，印度，蒙古,濒危,猎隼易于驯养，经驯养后是很好的狩猎工具，历史上就有猎手驯养猎隼。在阿拉伯国家，驯养隼类是一种时尚，财富和身份的象征。因此，国内有一些不法分子非法捕捉猎隼从事走私活动，给该物种造成了较大危胁。隼类的贸易驱使人们捕捉而导致种群数量下降。 [3] 古国政府在2012年决定，将猎隼确定为蒙古国“国鸟”。蒙古国官方数据显示，蒙古国境内现存猎隼约6800只。据蒙古国官方统计，从2000年至2013年左右，蒙古国共出口猎隼约3000只，2011年出口240只，2012年允许出口150只，每只售价约1.2万美元，主要出口到科威特、卡塔尔、沙特阿拉伯、阿联酋等国。在阿拉伯国家，驯养隼类是一种时尚、财富和身份的象征。 [5] 蒙古国政府于2012年1月12日宣布未来五年内禁止出口“国鸟”猎隼。此举被认为对保护猎隼种群生存繁衍具有积极意义。猎隼是深受蒙古国人民喜爱的猛禽，被世界自然保护联盟列入濒危物种红色名录。每年夏季，约有6800只猎隼在蒙古国停留生息。此外，蒙古国境内在2012年左右偷猎猎隼行为也有所增加。偷猎者通过出售捕获的猎隼牟取暴利。为保护猎隼种群，蒙古国政府已加大打击非法偷猎行为力度。 [6]
003-虎纹蛙,http://localhost:8000/info/static/animals/003-虎纹蛙.txt,《虎纹蛙》,虎纹蛙,两栖纲,无尾目,叉舌蛙科,虎纹蛙（学名：Hoplobatrachus rugulosus）是叉舌蛙科、虎纹蛙属动物。体大，雄蛙体长66-98毫米、雌蛙体长8-121毫米，体重可达250克左右。头长大于头宽，吻端钝尖；下颌前缘有两个齿状骨突；瞳孔横椭圆形，眼间距小于上眼睑宽，鼓膜约为眼径的3/4。体背面粗糙，无背侧褶，背部有长短不一，多断续排列成纵行的肤棱，其间散有小疣粒，胫部纵行肤棱明显；头侧，手，足背面和体腹面光滑。指、趾末端钝尖，无沟；后肢较短前伸贴体时胫跗关节达眼至肩部，左右跟部相遇或略重叠；笫一，五趾游离侧缘膜发达；趾间全蹼。背面多为黄绿色或灰棕色，散有不规则的深绿褐色斑纹；四肢横纹明显；体和四肢腹面肉色，咽、胸部有棕色斑，胸后和腹部略带浅蓝色，有斑或无斑。雄性第一指上灰色婚垫发达；有1对咽侧外声囊。卵径1.8毫米左右；动物极深粽色，植物极乳白色。[1],雄蛙体长66C98毫米，雌蛙体长87C121毫米，体重可达250克左右。 [5]  头长略大于头宽吻端钝尖，吻长为眼径的1.5-2倍，吻棱钝，颊部向外倾斜鼻孔略近吻端或于吻眼之间鼻间距大于眼间距，而小于上眼睑宽鼓膜明显，约为眼径的3/4上颌齿锐利犁骨齿极强，自内鼻孔内侧前缘向中线集中，后端不相遇舌后端缺刻深下颌前侧方有两个骨质齿状突，恰与上颌的两个凹陷相吻合。前肢短指短，第一、第三指几乎等长，第四指短于第一、第三指而长于第二指指端钝尖第二、第三指指侧具缘膜关节下瘤明显指间无蹼，内掌突略显，无外掌突。后肢较短，前伸贴体时胫跗关节达鼓膜，左、右跟部相遇，少数略重叠，胫长不及体长之半有内跗褶趾末端钝尖，关节下瘤小趾间全蹼，第一、第五趾游离侧缘膜发达，外侧间蹼达基部内突窄长，具游离刃，无外突。 [6]背面皮肤粗糙，无背侧褶背部有长短不一、分布不很规则的纵行肤棱，多者可达10多行上眼睑也有肤棱，顺眼睑作弧形排列肤棱间及体侧散有小疣粒胫部疣粒常排成纵行，跗外侧及底部有细颗粒颞褶明显头侧、口缘及腹面的皮肤光滑。 [6] 生活时背面黄绿色或灰棕色，背部、头侧及体侧有深色不规则的斑纹四肢背面有深色横纹腹面白色，咽喉、胸部有灰黑色或棕色斑纹，少数斑纹达腹部。液浸标本灰棕色，深色斑纹明显。 [6],雄蛙体长66C98毫米，雌蛙体长87C121毫米,虎纹蛙常生活于海拔900米以下稻田、沟渠、池塘、水库、沼泽地等有水的地方，其栖息地随觅食、繁殖、越冬等不同生活时期而改变,河南，陕西，安徽，江苏，上海，浙江，江西，湖南，福建，四川，云南，贵州，湖北，台湾，澳门，广东，海南，广西，香港,柬埔寨，老挝，缅甸，泰国，越南,濒危,虎纹蛙个体较大，经济价值高。虎纹蛙和其他蛙类一样，都以农业害虫为主食
004-大鲵,http://localhost:8000/info/static/animals/004-大鲵.txt,《大鲵》,大鲵,两栖纲,有尾目,隐鳃鲵科,大鲵（学名：Andrias davidianus）是隐腮鲵科、大鲵属有尾两栖动物。体大而扁平，一般全长582～834毫米，头体长310～585毫米，最大个体全长可达200厘米以上。头大扁平而宽阔，头长略大于头宽；雄鲵肛部隆起，椭圆形，肛孔较大，内壁有乳白色小颗粒；雌鲵肛部无隆起，泄殖肛孔较小，周围向内凹入，孔内壁平滑，无乳白色小颗粒。,成体：体大而扁平，一般全长582～834毫米，头体长310～585毫米，最大个体全长可达200厘米以上。头大扁平而宽阔，头长略大于头宽，头宽为头体长的1/5～1/4；吻端圆，外鼻孔小，近吻端，鼻间距为眼间距的l/3或1/2；眼很小，无眼睑，位背侧，眼间距宽；口大，口后缘上唇唇褶清晰；犁骨齿列甚长位于犁腭骨前缘，左右相连，相连处微凹，与上颌齿平行排列呈一弧形；舌大而圆，与口腔底部粘连，四周略游离。躯干粗壮扁平，颈褶明显，体侧有宽厚的纵行肤褶和若干圆形疣粒，腋胯部间距约为全长的1/3，有肋沟12～15条。四肢粗短，后肢略长，指、趾扁平；前后肢贴体相对时，指、趾端间距相隔6个肋沟左右；肢体后缘有肤褶，与外侧指、趾缘膜相连；指4个，指长顺序为2、1、3、4；趾5个，趾长顺序为3、4、2、5、1；第四指及第三、四、五趾外侧有缘膜；显得极为宽扁；蹼不发达，仅趾间有微蹼。尾长约为头体长的一半，尾高为尾长的1/3～1/4，尾基部略呈柱状，向后逐渐侧扁，尾背鳍褶高而厚，尾腹鳍褶在近尾稍处方始明显，尾末端钝圆。肛孔短小成短裂缝状；雌性的肛周皮肤光滑，雄性沿肛裂两侧形成疣粒状；繁殖季节期间雄性肛部肛肿。雄性全长510毫米时，睾丸长、宽、高为66.5毫米×14.0毫米×8.5毫米，色乳黄。采于陕西洋县的雌鲵全长465毫米的个体，卵巢内卵的直径为4.5毫米，呈乳黄色。体表光滑湿润；头部背腹面小疣粒成对排列；眼眶周围的疣粒排列较为整齐，更为集中，头顶和咽喉中部及上、下唇缘光滑无疣，眼眶下方、口角后及颈侧疣粒排列成行；体侧粗厚的纵行肤褶明显，上、下方之疣粒较大；其他部位的皮肤较光滑。全长160毫米幼鲵，体侧的肤褶及疣粒均不明显。生活时体色变异较大，一般以棕褐色为主，其变异颜色有暗黑、红棕、褐色、浅褐、黄土、灰褐和浅棕等色。背腹面有不规则的黑色或深褐色的各种斑纹，也有斑纹不明显的。幼体与未达性成熟的次成体的体色均较淡，以浅褐色为主，且有分散的小黑斑点；腹面色较浅；四肢外侧多有浅色斑。在湖北宜昌地区发现的白化个体，体尾均为银白或金黄色。,全长582～834毫米,成鲵一般常栖息在海拔1000米以下的溪河深潭内的岩洞、石穴之中，以滩口上下的洞穴内较为常见,河北，河南，山西，陕西，甘肃，青海，四川，重庆，贵州，云南，湖北，安徽，江苏，上海，浙江，江西，湖南，福建，广东，广西,,极危,种群现状：由于大鲵经济价值较高，人们过度捕捞作为食用日趋严重，加之江河污染，生态环境遭到破坏，致使大鲵数量锐减，许多地方资源枯竭，甚至濒临绝灭。 [6] 中国大鲵资源急剧下降始于20世纪80～90年代。陕西南部的秦岭、巴山、米仓山地区是我国野生大鲵分布气候最适宜、数量最多的地区，在20世纪80年代初大鲵资源依然非常丰富，汉中市内山区的河道内经常可以见到大鲵活动。1990年前后汉中市大鲵数量锐减，1991年刘诗峰等调查发现，大鲵资源蕴藏量仍较大，存量在2.2～2.3万尾。但时至今日，自然大鲵几近绝迹，河溪内见不到大鲵存在。湖南张家界市大鲵资源曾非常多，20世纪50年代桑植、大庸和慈利3个县每年收购出口5万千克大鲵，80年代后大鲵资源迅速减少；2006～2008年罗庆华等对张家界市大鲵分布区域和资源数量调查发现，野生资源仅存2001尾。山西全省大鲵资源量在20世纪70年代末约为10吨，到1994年锐减到2吨左右，部分河溪中大鲵已经绝迹。在河南伏牛山区，大鲵曾是当地的两栖动物优势种，20世纪70年代前，内乡宝天曼自然保护区（当时还未建成保护区）几乎所有溪流都有大鲵分布，80年代后期仅在高山溪流中见到，90年代难见其踪迹，2010年调查证明已无大鲵分布。贵州黔东武陵山区曾是大鲵的主要产区，溪河中经常可见大鲵，20世纪80年代大鲵资源蕴藏量急剧下降，仅有零星分布，且多生活在喀斯特地下暗河中，不易被发现和调查。安徽皖南山区和大别山区自然环境优越，大鲵曾分布广泛，资源量丰富，1994年安徽水产局进行全省大鲵资源全面调查时发现有36.5～56.2吨，但正以惊人的速度衰减，多地已绝迹。可见，中国大鲵的野生种群数量已急剧下降，物种资源几近枯竭。 [4]
005-豚尾猴,http://localhost:8000/info/static/animals/005-豚尾猴.txt,《豚尾猴》,豚尾猴,哺乳纲,灵长目,猴科,识别特征: 中型猕猴类的一种，体重35-14kg， 体长480-615mm，尾长180-234mm。体型较粗壮。尾较细而圆，除尾端有较短稀毛外，几乎裸出，形似猪尾或扫帚状，常上翘呈"Ｓ"型，故名。分布于我国的为缅北亚种（Macaca nemestrina leonina）。,豚尾猴系较典型的东南亚热带灵长类，主要见于热带雨林、季雨林和南亚热带季风常绿阔叶林或部分季节性落叶阔叶林。栖息高度一般在2500m以下。它的尾较长与林栖习性有关，更喜树栖，多数时间在树上活动，但也见在林下地面活动和觅食，甚至在河边裸岩附近稀树草丛中游荡。豚尾猴几乎很少在某一林地中较长停留，而常呈游荡式的广泛活动。群体大小由几只到40或50只不等。主食各种野果、芽苞、嫩尖、种子、昆虫及其它小动物等。,体长480-615mm，尾长180-234mm,,云南,印度，泰国，缅甸，马来亚，苏门答腊，加里曼丹,,种群现状 50-60年代，我国的豚尾猴数量较多，估计不少于3000只。80年代以后，据杨德华等1986年的调查，云南仅有豚尾猴约900-1000只（马世来等，1988）。 饲养情况 国内仅在一些单位有少量饲养，除广西灵长类实验动物研究中心养有50余只外，其它单位的饲养规模均较小， 一般只养有3-10只（沈培清，1994）。豚尾猴在饲养条件下均能繁殖。性成熟年龄：雌性约3.5岁，雄性5.5岁。雌性月经周期平均为31天，妊娠期 170天左右，哺乳期6-8个月。动物园最长的饲养记录为26年零4个月。致危因素 栖息环境的缩小、恶化和人为的猎捕是本种致危的主要因素。在50-60年代， 云南中部无量山区尚有较多的豚尾猴生存，其数量不少于500只。由于70年代以来，豚尾猴栖息的主要生境无量山区澜沧江两岸的原始森林被破坏殆尽，据我们1992年在无量山区的考察，豚尾猴仅残存两群，约10余只。现有保护措施 豚尾猴已被列为我国国家级I级重点保护野生动物，在云南的6个自然保护区包括西双版纳自然保护区、纳版河自然保护区、临沧大雪山自然保护区、南滚河自然保护区、景东无量山自然保护区和新平哀牢山自然保护区等都有豚尾猴分布。估计我国70%以上的豚尾猴种群得到了保护。对于云南中部无量山区和哀牢山区，已是本种分布的北缘极限地带，种群数量本来就少，由于栖息生境的被破坏，已使数量降至极度濒危的境地，保护好现有的残存种群和它们的栖息生境不再被破坏至关重要。
006-长舌果蝠,http://localhost:8000/info/static/animals/006-长舌果蝠.txt,《长舌果蝠》,长舌果蝠,哺乳纲,翼手目,狐蝠科,体型较棕果蝠小，前臂长约61~73mm。吻较尖长；耳呈长椎形，无耳屏；舌细长可伸出口外甚远，舌面带有刷状突起，利于收集花粉和花蜜；第二指不具爪，尾长略等于后足长；肛门两侧各具一肾状腺体，翼膜止于趾基；头骨较大，后部明显折转，前颌骨前后几乎等宽，上颌第三臼齿很小，齿34枚；体毛短而紧密，背毛深褐或黑褐色，腹毛灰褐或灰白色。,多栖息于石灰岩山洞中，常数十只集群贴伏在洞顶岩壁上；黄昏出洞觅食，凌晨归洞，主要以花粉和花蜜为食。,前臂长约61~73mm,石灰岩山洞.,云南，广西,,,对果树有一定危害.
007-熊狸,http://localhost:8000/info/static/animals/007-熊狸.txt,《熊狸》,熊狸,哺乳纲,食肉目,灵猫科,我国最大的一种灵猫科动物，形似小熊，体重8-13kg，体长700-800mm。尾长接近等于体长，尾末端具缠绕性，能缠住树枝支撑身体觅食。毛被长而稀疏，粗糙而蓬松。绒毛长而呈波浪状。足垫大，几乎覆盖整个足底。耳背的毛较长，约50mm.，明显超过耳尖形成长而尖的黑色簇毛。耳缘的毛较短，白色。通体黑褐色，毛尖染棕黄或棕灰色。尾色与背色相似。,主要栖于亚洲南部的热带雨林和季雨林，海拔高度一般不超过800m，系典型的热带树栖灵猫类，多在高大浓密的树上活动。夜行性动物，有时亦在上午活动。曾发现它们与灰叶猴和白颊长臂猿一起活动和觅食。熊狸主要采食植物的花果，特别喜食多种榕树的果实。每年2-3月发情交配，孕期2-3个月，一般5月中下旬产仔。一胎2-4仔，以2仔居多。幼体2岁性可成熟。,体长700-800mm,,云南，沧源，西双版纳，广西,尼泊尔，锡金，不丹，印度，缅甸，泰国，老挝，越南，柬埔寨，马来西亚，印度尼西亚，菲律宾,,
008-树鸭,http://localhost:8000/info/static/animals/008-树鸭.txt,《树鸭》,树鸭,哺乳纲,偶蹄目,鸭科,成鸟：额浅棕褐色；头顶、枕部棕褐色，头侧及颈浅棕灰，后颈转为浅棕黄色，背、肩逐渐变为黑褐色，并具棕黄色羽端；腰黑色；尾上覆羽栗色。翅上中小覆羽栗色；大覆羽及飞羽黑色。颏、喉浅棕白；上胸棕黄色，下胸、腹及两叻浅栗色；尾下覆羽棕白色；尾羽暗褐色，具浅棕色窄羽端。 虹膜暗褐；嘴黑；脚灰黑，爪黑色。 幼鸟：腹部棕黄略渲栗色，腰暗棕色，余部与成鸟相似，但羽色较浅淡。 嘴浅黑褐色；脚浅黑灰色。,体形较家鸭略小。颈长似鹅，嘴窄而高，嘴甲钩突显著。背羽主要呈黑褐色；翅上中、小覆羽及尾上覆羽栗色；胸、腹部均浅栗色。两性相似。,,,思茅，耿马，勐腊，盈江，潞西，台湾，广西，广东，海南岛，福建,斯里兰卡，印度，孟加拉国，缅甸，泰国，中南半岛，琉球群岛，印度尼西亚，苏门答腊，爪哇，加里曼丹,,
009-棕尾虹雉,http://localhost:8000/info/static/animals/009-棕尾虹雉.txt,《棕尾虹雉》,棕尾虹雉,鸟纲,鸡形目,雉科,棕尾虹雉（学名：Lophophorus impejanus）为雉科，虹雉属是一种动物。又名九色鸟，是雉科虹雉属的一种。形象非常美丽，尤其是色彩绚丽的雄鸟，体长为70厘米，体重2000克，头顶有一簇特别延长的蓝绿色羽冠，其羽干细而裸出，羽端呈匙状，向前卷曲，如同丝绒一般，甚为奇特，是虹雉中羽冠最漂亮的,棕尾虹雉头顶有一簇特别延长的蓝绿色羽冠，其羽干细而裸出，羽端呈匙状，向前卷曲，如同丝绒一般，甚为奇特，是虹雉中羽冠最漂亮的。全身的羽毛都闪耀着彩虹一样的金属的光泽，头部为绿色；眼周裸出的皮肤呈海蓝色；后颈和颈侧红铜色；背铜绿色，其余上体紫蓝绿色，下背和腰白色；下体黑褐色，具显著的棕白色纹；尾棕红色。 [3] 雌鸟全身的羽色显得淡雅清秀，头和羽冠、上体均为黑色，具皮黄色或白色纹；下背皮黄色，具黑色同心纹；颏、喉及前颈白色，其余下体褐色，杂有黑纹或白色纹；尾羽棕色，具黑色横斑和白色端斑。 [3] 眼睛内的虹膜为褐色；嘴角褐色；腿、脚黄绿至暗绿色。 [3],体长700毫米,棕尾虹雉是典型的高山鸡类，生活在海拔2500-4500米之间，终年被云雾笼罩着的高山针叶林、高山草甸和杜鹃灌丛之中。白天活动，晚上栖于陡峭的岩石上或杜鹃灌丛中,西藏,阿富汗，巴基斯坦，克什米尔，尼泊尔，不丹，印度，缅甸,无危,种群现状：栖息地破坏：主要是不断地扩大耕种面积和牦牛的放牧区，严重损害了棕尾虹雉的栖息地。加之森林过度砍伐等多种因素，使栖息地面积越来越少。作为食物被捕猎：乱捕滥猎、毁巢取卵现象也时有发生。在印度和尼泊尔密度都在每公顷0.15只左右，在巴基斯坦密度更是高达每公顷0.34只。但在中国数量却极为稀少，仅能见到零星个体，估计总数不足1000只。 [3] 该物种分布范围广，不接近物种生存的脆弱濒危临界值标准（分布区域或波动范围小于20000平方公里，栖息地质量，种群规模，分布区域碎片化），种群数量趋势稳定，因此被评价为无生存危机的物种。 [5]
010-白暨豚,http://localhost:8000/info/static/animals/010-白暨豚.txt,《白暨豚》,白暨豚,哺乳纲,齿鲸亚目,白暨豚科,暨豚体形中等粗壮，有狭长而稍微上翘的喙，圆的额隆，低三角形的背鳍位于从吻端向后约2/3体长处，是其最显著的野外识别特征。鳍肢宽而梢端钝圆。与海生的海豚相比眼睛较小，但不像恒河豚的眼那样小。体上面主要呈蓝灰色或灰色，体下面白色。在头和颈的侧面从眼至鳍肢形成灰色和白色间的波状分界。白色部分在鳍肢前向上伸入灰色部分形成2个显著的白色斑。头骨的吻突狭长，在上齿列后端与眶前凹之间略缩窄；吻突侧面有明显侧沟，腹面两上颌骨间有约与上齿列等长的浅沟；上颌骨基部向后方扩展，在头骨后缘与上枕骨相接，侧缘向上翘起形成上颌脊，在眼眶部强烈上曲；鳞骨颧突不达额骨眶上突；上枕骨仅微向后方隆起，故头骨后缘平直；两上颌骨腭部相接；翼骨钩突具深凹腔；鼓围耳骨与颅骨保持松动的直接联系；下颌联合极长，其长接近或达到下颌骨长之半；牙齿略前后扁，曲面向内，齿冠具纵脊形成的网状釉褶。每个齿列有31-36枚圆锥形的齿。椎式：C7，T10-11，L5-8，Cal9-21=41-45。染色体组2n=44，14条常染色体为中着丝粒染色体，16条为亚中着丝粒染色体，4条为亚端着丝粒染色体，8条为端着丝粒染色体。性染色体中X为中着丝粒染色体，Y为端着丝粒染色体。,,雌性成体最大体长253厘米 ，雄性成体229厘米，体型大小的性二型明显,,长江中下游，南京,,极危,
011-恒河鲨,http://localhost:8000/info/static/animals/011-恒河鲨.txt,《恒河鲨》,恒河鲨,软骨鱼纲,真鲨目,真鲨科,体纺锤形。躯干粗壮。头宽扁，头长约为全长的1/4。尾稍侧扁，比头和躯干稍短，尾基上下方各具一凹洼，上凹洼呈纵凹形。吻宽扁钝圆，口前吻长很短，口宽约比口前吻长大2倍余。眼小，圆形，瞬膜发达，距吻端比距第一鳃孔为近。鼻孔斜列，外侧位，距口端比距吻端为近；前鼻瓣具有1个三角形突出，后鼻瓣不分化；鼻间隔宽大，大于口前吻长，为鼻孔长的4倍余。口大，弧形，口宽约为口长的1.8倍，下颌短，口闭时齿暴露。唇褶短小，只见于口隅处。上下颌齿异型，上颌齿宽扁三角形，边缘具细锯齿，齿头稍外斜；下颌齿较狭尖，基底宽大，边缘光滑无锯齿，基底具小齿头；上下颌各具一细小正中齿，齿式 。喷水孔消失。鳃孔5个，狭小，比眼径稍大，中间3个较宽，最后2个距离较近，最后2-3个位于胸鳍基底上方。背鳍2个；第一背鳍起点较前位，与胸鳍基底后1/3相对，上角钝尖，后缘稍凹，下角尖突，未伸达腹鳍起点上方；第二背鳍较大，鳍高为第一背鳍高的1/2，起点稍前于臀鳍起点，上角钝圆，下角尖突。尾鳍宽大，约等于头长的1.1倍。尾椎轴上翘，上叶见于尾端近处，下叶前部显著三角形突出，中部低平后延，中部与后部间有一缺刻，尾部小三角形突出，与上叶连接，尾端尖突。臀鳍比第二背鳍稍小，外角钝尖，后缘深凹入，里角尖突。腹鳍稍大于第二背鳍，近长方形，外角钝圆，里角钝尖，位于两背鳍中间下方。胸鳍宽大，镰形，前后长度为其前缘长的3/5-4/5。起点位于第三、四鳃孔附近，外角尖突，里角钝圆，后缘凹入。体灰褐色，下侧面和腹面白色。各鳍暗褐色，胸鳍和臀鳍边缘浅褐色。,,全长784 mm,,台湾，东海，南海,印度洋，太平洋，西孟加拉，印度，巴基斯坦,,
